CMDLINE /home/gusw/code/python_main/study/linkedin/faster-python-code/.env/bin/python c01/l04_sos.py
MEM 1.371094 1651396192.2898
MEM 16.871094 1651396192.3903
MEM 25.425781 1651396192.4906
MEM 32.324219 1651396192.5911
MEM 38.839844 1651396192.6914
MEM 153.824219 1651396192.7919
MEM 258.238281 1651396192.8928
MEM 358.785156 1651396192.9932
MEM 441.800781 1651396193.0936
MEM 545.957031 1651396193.1941
MEM 671.769531 1651396193.2945
MEM 784.433594 1651396193.3950
MEM 869.769531 1651396193.4955
MEM 970.316406 1651396193.5959
MEM 1054.621094 1651396193.6965
MEM 1156.457031 1651396193.7969
MEM 1259.066406 1651396193.8973
MEM 1344.402344 1651396193.9978
MEM 1419.941406 1651396194.0982
MEM 1495.480469 1651396194.1988
MEM 1581.589844 1651396194.2991
MEM 1581.589844 1651396194.3995
MEM 1581.589844 1651396194.4999
MEM 1581.589844 1651396194.6003
MEM 1581.589844 1651396194.7007
MEM 1581.589844 1651396194.8011
MEM 1581.589844 1651396194.9015
MEM 1581.589844 1651396195.0019
MEM 1581.589844 1651396195.1023
MEM 1581.589844 1651396195.2028
MEM 1581.589844 1651396195.3032
MEM 1581.589844 1651396195.4036
MEM 1581.589844 1651396195.5041
MEM 1581.589844 1651396195.6045
MEM 1581.589844 1651396195.7049
MEM 1581.589844 1651396195.8054
MEM 1581.589844 1651396195.9057
MEM 1581.589844 1651396196.0061
MEM 1581.589844 1651396196.1065
MEM 1581.589844 1651396196.2069
MEM 1581.589844 1651396196.3073
MEM 1581.589844 1651396196.4076
MEM 1581.589844 1651396196.5080
MEM 1581.589844 1651396196.6084
MEM 1581.589844 1651396196.7087
MEM 1581.589844 1651396196.8091
MEM 1581.589844 1651396196.9096
MEM 1581.589844 1651396197.0101
MEM 1327.503906 1651396197.1105
MEM 1327.503906 1651396197.2109
MEM 1327.503906 1651396197.3113
MEM 1103.003906 1651396197.4118
MEM 816.253906 1651396197.5122
MEM 525.753906 1651396197.6126
MEM 63.003906 1651396197.7131
